Year,Road Segment ID,Road Name,Length(km),Vehicle Type,Vehicle Classification,Traffic Density,Total AADT
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Public,Taxi,1749,6473
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Public,Taxi,438,3659
2022,C:1,RECTO,3.24,Public,PUB,28,90
2022,C:2,MENDOZA,6.61,Public,PUB,23,155
2022,C:2,PRES. QUIRINO AVE.,3.6,Public,PUB,58,209
2022,C:3,ARANETA AVE.,10.76,Public,PUB,2,26
2022,C:4,EDSA,23.08,Public,PUB,242,5588
2022,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Public,PUB,18,789
2022,R:1,ROXAS BLVD.,11.47,Public,PUB,52,595
2022,R:2,TAFT AVE.,16.5,Public,PUB,71,1174
2022,R:3,SSH,24.27,Public,PUB,202,4893
2022,R:4,SHAW BLVD.,7.68,Public,PUB,6,48
2022,R:5,ORTIGAS AVE.,5.54,Public,PUB,163,901
2022,R:6,MAGSAYSAY BLVD.,2.2,Public,PUB,69,152
2022,R:6,AURORA BLVD.,11.42,Public,PUB,46,522
2022,R:7,QUEZON AVE.,7.73,Public,PUB,110,853
2022,R:7,COMMONWEALTH AVE.,12.4,Public,PUB,372,4614
2022,R:8,A. BONIFACIO,15.98,Public,PUB,100,1593
2022,R:9,RIZAL AVE.,15.95,Public,PUB,2,26
2022,R:10,DEL PAN,7.32,Public,PUB,22,163
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Public,PUB,146,542
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Public,PUB,57,479
2022,C:1,RECTO,3.24,Commercial,Truck,201,651
2022,C:2,MENDOZA,6.61,Commercial,Truck,573,3786
2022,C:2,PRES. QUIRINO AVE.,3.6,Commercial,Truck,888,3198
2022,C:3,ARANETA AVE.,10.76,Commercial,Truck,245,2639
2022,C:4,EDSA,23.08,Commercial,Truck,99,2295
2022,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Commercial,Truck,209,8993
2022,R:1,ROXAS BLVD.,11.47,Commercial,Truck,94,1077
2022,R:2,TAFT AVE.,16.5,Commercial,Truck,100,1647
2022,R:3,SSH,24.27,Commercial,Truck,283,6870
2022,R:4,SHAW BLVD.,7.68,Commercial,Truck,136,1041
2022,R:5,ORTIGAS AVE.,5.54,Commercial,Truck,720,3988
2022,R:6,MAGSAYSAY BLVD.,2.2,Commercial,Truck,747,1644
2022,R:6,AURORA BLVD.,11.42,Commercial,Truck,174,1988
2022,R:7,QUEZON AVE.,7.73,Commercial,Truck,529,4088
2022,R:7,COMMONWEALTH AVE.,12.4,Commercial,Truck,592,7336
2022,R:8,A. BONIFACIO,15.98,Commercial,Truck,493,7880
2022,R:9,RIZAL AVE.,15.95,Commercial,Truck,159,2531
2022,R:10,DEL PAN,7.32,Commercial,Truck,827,6051
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Commercial,Truck,1312,4853
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Commercial,Truck,286,2386
2022,C:1,RECTO,3.24,Commercial,Trailer,52,169
2022,C:2,MENDOZA,6.61,Commercial,Trailer,2,12
2022,C:2,PRES. QUIRINO AVE.,3.6,Commercial,Trailer,15,53
2022,C:3,ARANETA AVE.,10.76,Commercial,Trailer,47,507
2022,C:4,EDSA,23.08,Commercial,Trailer,5,119
2022,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Commercial,Trailer,27,1151
2022,R:1,ROXAS BLVD.,11.47,Commercial,Trailer,179,2050
2022,R:2,TAFT AVE.,16.5,Commercial,Trailer,10,164
2022,R:3,SSH,24.27,Commercial,Trailer,144,3497
2022,R:4,SHAW BLVD.,7.68,Commercial,Trailer,13,98
2022,R:5,ORTIGAS AVE.,5.54,Commercial,Trailer,99,549
2022,R:6,MAGSAYSAY BLVD.,2.2,Commercial,Trailer,124,272
2022,R:6,AURORA BLVD.,11.42,Commercial,Trailer,4,42
2022,R:7,QUEZON AVE.,7.73,Commercial,Trailer,41,314
2022,R:7,COMMONWEALTH AVE.,12.4,Commercial,Trailer,35,439
2022,R:8,A. BONIFACIO,15.98,Commercial,Trailer,91,1458
2022,R:9,RIZAL AVE.,15.95,Commercial,Trailer,1,15
2022,R:10,DEL PAN,7.32,Commercial,Trailer,1176,8610
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Commercial,Trailer,93,343
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Commercial,Trailer,20,169
2022,C:1,RECTO,3.24,Two/Three-Wheeled,Motorcycle,13792,44687
2022,C:2,MENDOZA,6.61,Two/Three-Wheeled,Motorcycle,12117,80092
2022,C:2,PRES. QUIRINO AVE.,3.6,Two/Three-Wheeled,Motorcycle,19566,70437
2022,C:3,ARANETA AVE.,10.76,Two/Three-Wheeled,Motorcycle,4171,44877
2022,C:4,EDSA,23.08,Two/Three-Wheeled,Motorcycle,6579,151847
2022,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Two/Three-Wheeled,Motorcycle,2329,100133
2022,R:1,ROXAS BLVD.,11.47,Two/Three-Wheeled,Motorcycle,6985,80120
2022,R:2,TAFT AVE.,16.5,Two/Three-Wheeled,Motorcycle,5073,83705
2022,R:3,SSH,24.27,Two/Three-Wheeled,Motorcycle,3552,86204
2022,R:4,SHAW BLVD.,7.68,Two/Three-Wheeled,Motorcycle,6867,52739
2022,R:5,ORTIGAS AVE.,5.54,Two/Three-Wheeled,Motorcycle,13614,75422
2022,R:6,MAGSAYSAY BLVD.,2.2,Two/Three-Wheeled,Motorcycle,29383,64643
2022,R:6,AURORA BLVD.,11.42,Two/Three-Wheeled,Motorcycle,5072,57926
2022,R:7,QUEZON AVE.,7.73,Two/Three-Wheeled,Motorcycle,16296,125966
2022,R:7,COMMONWEALTH AVE.,12.4,Two/Three-Wheeled,Motorcycle,12449,154369
2022,R:8,A. BONIFACIO,15.98,Two/Three-Wheeled,Motorcycle,1897,30308
2022,R:9,RIZAL AVE.,15.95,Two/Three-Wheeled,Motorcycle,3436,54799
2022,R:10,DEL PAN,7.32,Two/Three-Wheeled,Motorcycle,5974,43733
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Two/Three-Wheeled,Motorcycle,28909,106963
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Two/Three-Wheeled,Motorcycle,7756,64759
2022,C:1,RECTO,3.24,Two/Three-Wheeled,Tricycle,572,1854
2022,C:2,MENDOZA,6.61,Two/Three-Wheeled,Tricycle,287,1900
2022,C:2,PRES. QUIRINO AVE.,3.6,Two/Three-Wheeled,Tricycle,270,973
2022,C:3,ARANETA AVE.,10.76,Two/Three-Wheeled,Tricycle,137,1475
2022,C:4,EDSA,23.08,Two/Three-Wheeled,Tricycle,1,20
2022,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Two/Three-Wheeled,Tricycle,1,44
2022,R:1,ROXAS BLVD.,11.47,Two/Three-Wheeled,Tricycle,25,290
2022,R:2,TAFT AVE.,16.5,Two/Three-Wheeled,Tricycle,402,6639
2022,R:3,SSH,24.27,Two/Three-Wheeled,Tricycle,2,51
2022,R:4,SHAW BLVD.,7.68,Two/Three-Wheeled,Tricycle,3,21
2022,R:5,ORTIGAS AVE.,5.54,Two/Three-Wheeled,Tricycle,20,113
2022,R:6,MAGSAYSAY BLVD.,2.2,Two/Three-Wheeled,Tricycle,733,1612
2022,R:6,AURORA BLVD.,11.42,Two/Three-Wheeled,Tricycle,15,167
2022,R:7,QUEZON AVE.,7.73,Two/Three-Wheeled,Tricycle,19,149
2022,R:7,COMMONWEALTH AVE.,12.4,Two/Three-Wheeled,Tricycle,51,628
2022,R:8,A. BONIFACIO,15.98,Two/Three-Wheeled,Tricycle,17,265
2022,R:9,RIZAL AVE.,15.95,Two/Three-Wheeled,Tricycle,114,1813
2022,R:10,DEL PAN,7.32,Two/Three-Wheeled,Tricycle,339,2481
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Two/Three-Wheeled,Tricycle,69,257
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Two/Three-Wheeled,Tricycle,36,298
2021,C:1,RECTO,3.24,Private,Car,8471,27447
2021,C:2,MENDOZA,6.61,Private,Car,5669,37472
2021,C:2,PRES. QUIRINO AVE.,3.6,Private,Car,8595,30942
2021,C:3,ARANETA AVE.,10.76,Private,Car,5458,58726
2021,C:4,EDSA,23.08,Private,Car,8640,199402
2021,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Private,Car,2310,99316
2021,R:1,ROXAS BLVD.,11.47,Private,Car,8288,95063
2021,R:2,TAFT AVE.,16.5,Private,Car,2647,43676
2021,R:3,SSH,24.27,Private,Car,3960,96111
2021,R:4,SHAW BLVD.,7.68,Private,Car,6330,48612
2021,R:5,ORTIGAS AVE.,5.54,Private,Car,13203,73145
2021,R:6,MAGSAYSAY BLVD.,2.2,Private,Car,25923,57031
2021,R:6,AURORA BLVD.,11.42,Private,Car,3185,36367
2021,R:7,QUEZON AVE.,7.73,Private,Car,15573,120383
2021,R:7,COMMONWEALTH AVE.,12.4,Private,Car,10899,135153
2021,R:8,A. BONIFACIO,15.98,Private,Car,1738,27772
2021,R:9,RIZAL AVE.,15.95,Private,Car,2083,33217
2021,R:10,DEL PAN,7.32,Private,Car,5353,39187
2021,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Private,Car,29646,109691
2021,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Private,Car,3656,30529
2021,C:1,RECTO,3.24,Public,PUJ,1228,3980
2021,C:2,MENDOZA,6.61,Public,PUJ,512,3384
2021,C:2,PRES. QUIRINO AVE.,3.6,Public,PUJ,26,94
2021,C:3,ARANETA AVE.,10.76,Public,PUJ,0,0
2021,C:4,EDSA,23.08,Public,PUJ,71,1638
2021,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Public,PUJ,7,289
2021,R:1,ROXAS BLVD.,11.47,Public,PUJ,817,9366
2021,R:2,TAFT AVE.,16.5,Public,PUJ,518,8552
2021,R:3,SSH,24.27,Public,PUJ,8,187
2021,R:4,SHAW BLVD.,7.68,Public,PUJ,147,1127
2021,R:5,ORTIGAS AVE.,5.54,Public,PUJ,1239,6866
2021,R:6,MAGSAYSAY BLVD.,2.2,Public,PUJ,2292,5043
2021,R:6,AURORA BLVD.,11.42,Public,PUJ,650,7424
2021,R:7,QUEZON AVE.,7.73,Public,PUJ,271,2094
2021,R:7,COMMONWEALTH AVE.,12.4,Public,PUJ,140,1740
2021,R:8,A. BONIFACIO,15.98,Public,PUJ,203,3247
2021,R:9,RIZAL AVE.,15.95,Public,PUJ,419,6683
2021,R:10,DEL PAN,7.32,Public,PUJ,86,630
2021,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Public,PUJ,2076,7682
2021,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Public,PUJ,448,3740
2021,C:1,RECTO,3.24,Public,UV,4,12
2021,C:2,MENDOZA,6.61,Public,UV,1,9
2021,C:2,PRES. QUIRINO AVE.,3.6,Public,UV,3,10
2021,C:3,ARANETA AVE.,10.76,Public,UV,1,9
2021,C:4,EDSA,23.08,Public,UV,113,2604
2021,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Public,UV,49,2121
2021,R:1,ROXAS BLVD.,11.47,Public,UV,173,1988
2021,R:2,TAFT AVE.,16.5,Public,UV,267,4400
2021,R:3,SSH,24.27,Public,UV,3,80
2021,R:4,SHAW BLVD.,7.68,Public,UV,99,757
2021,R:5,ORTIGAS AVE.,5.54,Public,UV,653,3619
2021,R:6,MAGSAYSAY BLVD.,2.2,Public,UV,20,43
2021,R:6,AURORA BLVD.,11.42,Public,UV,128,1458
2021,R:7,QUEZON AVE.,7.73,Public,UV,364,2813
2021,R:7,COMMONWEALTH AVE.,12.4,Public,UV,393,4879
2021,R:8,A. BONIFACIO,15.98,Public,UV,3,53
2021,R:9,RIZAL AVE.,15.95,Public,UV,2,28
2021,R:10,DEL PAN,7.32,Public,UV,5,38
2021,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Public,UV,238,882
2021,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Public,UV,0,2
2021,C:1,RECTO,3.24,Public,Taxi,1495,4844
