title, latitude, longitude
R:2,14.484527,120.984449
R:2,14.479436,120.980158
R:2,14.477317,120.977497
R:2,14.475115,120.97827
R:2,14.473889,120.977626
R:2,14.472061,120.975115
R:2,14.469921,120.97121
R:2,14.465537,120.967884
R:2,14.464207,120.966575
R:2,14.461714,120.962498
R:2,14.459802,120.959837
R:3,14.576834,120.997088
R:3,14.565786,121.003053
R:3,14.555734,121.008589
R:3,14.539991,121.016936
R:3,14.526344,121.024318
R:3,14.515459,121.03039
R:3,14.501687,121.037815
R:3,14.489346,121.044359
R:3,14.485503,121.045175
R:3,14.471853,121.045153
R:3,14.460467,121.045303
R:3,14.449974,121.045239
R:3,14.439148,121.045282
R:3,14.427843,121.045432
R:3,14.415832,121.045454
R:3,14.411052,121.043158
R:3,14.403508,121.039853
R:4,14.578683,120.998504
R:4,14.578869,121.001787
R:4,14.580032,121.007237
R:4,14.57698,121.0111
R:4,14.576668,121.011443
R:4,14.575401,121.011744
R:4,14.574176,121.012731
R:4,14.572785,121.013503
R:4,14.572058,121.014662
R:4,14.570251,121.023309
R:4,14.567863,121.030433
R:4,14.567427,121.031313
R:4,14.56751,121.032622
R:4,14.566907,121.033673
R:4,14.566887,121.034596
R:4,14.566721,121.036012
R:4,14.56753,121.039531
R:4,14.567572,121.040046
R:4,14.567344,121.042149
R:4,14.568216,121.044338
R:4,14.567884,121.046612
R:4,14.56805,121.049874
R:4,14.566887,121.052084
R:4,14.564934,121.05408
R:4,14.564457,121.055217
R:4,14.564083,121.057663
R:4,14.563003,121.05998
R:4,14.560781,121.062512
R:4,14.560158,121.064615
R:4,14.559888,121.065302
R:4,14.559909,121.065259
R:4,14.559888,121.065302
R:4,14.559867,121.065302
R:4,14.559867,121.065216
R:4,14.560012,121.065066
R:4,14.55995,121.06513
R:6,14.600653,120.99093
R:6,14.601525,120.992496
R:6,14.60057,120.995994
R:6,14.601047,120.99786
R:6,14.602355,121.012301
R:6,14.602833,121.015692
R:6,14.609478,121.022558
R:6,14.612883,121.032515
R:6,14.619382,121.043952
R:6,14.624946,121.05689
R:6,14.627811,121.063221
R:6,14.628393,121.067169
R:6,14.63267,121.076009
R:6,14.631943,121.07794
R:6,14.627105,121.08146
R:6,14.619236,121.089356
R:6,14.618717,121.090965
R:6,14.625486,121.124268
R:5,14.602293,121.011679
R:5,14.60057,121.013353
R:5,14.59758,121.01552
R:5,14.597559,121.016786
R:5,14.597683,121.017537
R:5,14.596084,121.019704
R:5,14.59623,121.020284
R:5,14.593883,121.026464
R:5,14.590499,121.033909
R:5,14.589585,121.035111
R:5,14.589502,121.039424
R:5,14.588567,121.043329
R:5,14.587114,121.046526
R:5,14.581901,121.052878
R:5,14.580572,121.054552
R:5,14.571933,121.064572
R:5,14.570355,121.066289
R:5,14.563481,121.065195
R:5,14.563273,121.065409
R:5,14.562899,121.066976
R:5,14.56292,121.068091
R:7,14.594672,120.980437
R:7,14.596624,120.983613
R:7,14.602916,120.9849
R:7,14.604806,120.985222
R:7,14.605242,120.987883
R:7,14.611865,120.995221
R:7,14.627977,121.012967
R:7,14.630988,121.015992
R:7,14.649984,121.046848
R:7,14.648905,121.04835
R:7,14.648531,121.049359
R:7,14.648676,121.051033
R:7,14.650171,121.051869
R:7,14.652413,121.051548
R:7,14.653057,121.051226
R:7,14.67012,121.077189
R:7,14.677054,121.082747
R:7,14.686975,121.086867
R:7,14.699906,121.086931
R:7,14.70439,121.08367
R:7,14.705116,121.081116
R:7,14.705178,121.074529
R:7,14.706527,121.069958
R:7,14.70661,121.06483
R:7,14.721449,121.051869
R:7,14.726741,121.047492
R:7,14.731037,121.047256
R:8,14.605159,120.985157
R:8,14.609976,120.986123
R:8,14.612094,120.986209
R:8,14.614357,120.988891
R:8,14.625984,120.989084
R:8,14.62613,120.989621
R:8,14.637362,120.993397
R:8,14.639936,120.992045
R:8,14.653679,120.997903
R:8,14.656212,120.999706
R:8,14.657852,121.000135
R:8,14.690483,121.0008
R:8,14.693057,121.00035
R:8,14.705614,120.994234
R:9,14.594434,120.979933
R:9,14.598877,120.980748
R:9,14.598971,120.981156
R:9,14.602366,120.981767
R:9,14.606861,120.9821
R:9,14.612447,120.98254
R:9,14.617617,120.982679
R:9,14.624822,120.982872
R:9,14.628538,120.982958
R:9,14.629452,120.982486
R:9,14.631694,120.980748
R:9,14.632576,120.980737
R:9,14.638047,120.983173
R:9,14.639324,120.983409
R:9,14.650939,120.983741
R:9,14.65642,120.983849
R:9,14.660603,120.984042
R:9,14.665315,120.984256
R:9,14.666176,120.98372
R:9,14.667993,120.982175
R:9,14.672923,120.982035
R:9,14.677687,120.98019
R:9,14.681164,120.978956
R:9,14.684225,120.977175
R:10,14.60003,120.964386
R:10,14.600923,120.962262
R:10,14.601681,120.961651
R:10,14.609457,120.960878
R:10,14.612208,120.960299
R:10,14.618188,120.959773
R:10,14.620202,120.959601
R:10,14.624676,120.959988
R:10,14.627573,120.959848
R:10,14.629182,120.959408
R:10,14.633542,120.958099
R:10,14.638203,120.956404
R:10,14.640019,120.9556
R:10,14.643029,120.953379
R:10,14.646943,120.95045
R:10,14.650368,120.948132
R:10,14.651116,120.947843
MCARTHUR HIGHWAY,14.6570907232372,120.983914214391
MCARTHUR HIGHWAY,14.6684712753808,120.982005175191
MCARTHUR HIGHWAY,14.7209641740719,120.958607390582
MCARTHUR HIGHWAY,14.657090723237243, 120.98391421439116
MCARTHUR HIGHWAY,14.668471275380897, 120.98200517519157
MCARTHUR HIGHWAY,14.720964174071932, 120.95860739058234
MCARTHUR HIGHWAY,14.666669069676589, 120.98349865817063
MCARTHUR HIGHWAY,14.673975931951217, 120.98092373747104
MCARTHUR HIGHWAY,14.680618322284719, 120.97852047815144
MCARTHUR HIGHWAY,14.684271550982773, 120.9774905098716
MCARTHUR HIGHWAY,14.691411776271083, 120.97139652957536
MCARTHUR HIGHWAY,14.692740164542533, 120.96521672013648
MCARTHUR HIGHWAY,14.699049898538433, 120.96350010640346
MCARTHUR HIGHWAY,14.711336752104726, 120.95972355619081
MCARTHUR HIGHWAY,14.71581962105262, 120.9580069424578
MARCOS HIGHWAY,14.63280996813626, 121.07385582644983
MARCOS HIGHWAY,14.632929121557286, 121.07601091282571
MARCOS HIGHWAY,14.631975892377607, 121.07847386868386
MARCOS HIGHWAY,14.630307731350506, 121.07933590323418
MARCOS HIGHWAY,14.627784101823991, 121.08093365150563
MARCOS HIGHWAY,14.62612204932071, 121.08257085631452
MARCOS HIGHWAY,14.625109229923892, 121.08348339668103
MARCOS HIGHWAY,14.624278195134549, 121.08455697358282
MARCOS HIGHWAY,14.622719996378478, 121.08611366016692
MARCOS HIGHWAY,14.620019092429075, 121.0889317995341
MARCOS HIGHWAY,14.620252825814406, 121.08844868992828
MARCOS HIGHWAY,14.618928333282199, 121.0902737707618
MARCOS HIGHWAY,14.618798480649176, 121.09089107748031
MARCOS HIGHWAY,14.619006244825163, 121.09411180818566
MARCOS HIGHWAY,14.619603565761864, 121.09550745828642
MARCOS HIGHWAY,14.619993122002851, 121.09827191880852
MARCOS HIGHWAY,14.620486558926489, 121.1006874669323
MARCOS HIGHWAY,14.62103193527794, 121.10296881784858
MARCOS HIGHWAY,14.621239697341329, 121.10366664283471
MARCOS HIGHWAY,14.621343578299316, 121.10474021973653
